name,diet,cuisine,prep_time,calories,ingredients,instructions,type,image
Spaghetti Aglio e Olio,Vegetarian,Italian,15 min,400,"1/2 lb spaghetti, 4 cloves garlic, 1/4 cup olive oil, 1/4 tsp red pepper flakes, 2 tbsp parsley, salt, black pepper","Cook pasta according to package directions. In a large skillet, heat olive oil over low heat. Add sliced garlic and red pepper flakes and cook until garlic is fragrant. Drain the cooked pasta and add it to the skillet. Toss to coat with the oil and garlic. Garnish with fresh parsley.",Dinner,spaghetti.png
Vegan Black Bean Burgers,"Vegetarian, Vegan",American,30 min,350,"1 can black beans, 1/2 cup breadcrumbs, 1/4 cup chopped onion, 1 tsp cumin, 1/2 tsp chili powder, salt, pepper","In a bowl, mash the black beans. Add breadcrumbs, onion, and spices. Mix well. Form into patties. Cook in a skillet over medium heat for 5-7 minutes per side, or until golden brown. Serve on buns with your favorite toppings.",Lunch,burgers.png
Fresh Berry Smoothie,"Vegetarian, Vegan, Gluten-Free",American,5 min,250,"1 cup mixed berries, 1/2 banana, 1/2 cup almond milk, 1 tsp honey or agave nectar",Combine all ingredients in a blender. Blend until smooth. Add more almond milk for a thinner consistency if desired. Serve immediately.,"Breakfast, Snack",smoothie.png
Homemade Pizza Dough,Vegetarian,Italian,2 hours (with rise time),120,"1 1/4 cups warm water, 1 tsp sugar, 2 1/4 tsp active dry yeast, 3 cups all-purpose flour, 2 tbsp olive oil, 1 tsp salt","In a large bowl, dissolve sugar and yeast in warm water. Let stand for 10 minutes until foamy. Stir in flour, olive oil, and salt. Knead on a floured surface for 5-7 minutes until smooth. Place in a greased bowl, cover, and let rise for 1-1.5 hours. Punch down the dough and it's ready to use.","Ingredient, Snack",homemadepizza.png
Classic Chicken Curry,Gluten-Free,Indian,45 min,550,"1 lb chicken, 1 onion, 2 tomatoes, 1 tbsp ginger-garlic paste, 1 tsp turmeric powder, 1 tsp coriander powder, 1/2 tsp cumin powder, salt to taste",Heat oil in a pan. Add chopped onions and cook until golden. Add ginger-garlic paste. Add chopped tomatoes and cook until soft. Add all powdered spices and mix well. Add chicken pieces and cook until done.,Dinner,chicken.png
Simple Garden Salad,"Vegetarian, Vegan, Gluten-Free",American,10 min,150,"2 cups lettuce, 1/2 cucumber, 1 tomato, 1/4 red onion, 1 tbsp olive oil, 1 tbsp vinegar, salt, pepper",Wash and chop all vegetables. Place in a bowl. Drizzle with olive oil and vinegar. Add salt and pepper. Toss well and serve.,Lunch,salad.png
Chocolate Chip Cookies,Non Vegetarian,American,25 min,200,"1 cup all-purpose flour, 1/2 cup butter, 1/2 cup brown sugar, 1/4 cup white sugar, 1 egg, 1/2 tsp baking soda, 1 tsp vanilla extract, 1 cup chocolate chips","Preheat oven to 375°F (190°C). Cream butter and sugars. Beat in egg and vanilla. Stir in flour, baking soda, and salt. Fold in chocolate chips. Drop spoonfuls onto a baking sheet. Bake for 9-11 minutes.",Dessert,cookies.png
Grilled Chicken Salad,"Non Vegetarian,Gluten-Free",American,20 min,350,"1 grilled chicken breast, 2 cups lettuce, ½ cup cherry tomatoes, ¼ cucumber, 1 tbsp olive oil, salt, pepper, lemon juice",Grill the chicken breast until cooked. Chop the vegetables and mix them in a bowl. Slice the chicken and place it on top. Drizzle with olive oil and lemon juice before serving.,Lunch,chicken-salad.png
Paneer Butter Masala,Vegetarian,Indian,25 min,480,"200g paneer cubes, 2 tomatoes, 1 onion, 2 tbsp butter, 1 tsp garam masala, ½ cup cream, salt, oil","Sauté onions and tomatoes, blend into a paste. In the same pan, add butter, the paste, and spices. Add cream and paneer cubes, simmer for 5 minutes. Serve with naan or rice.",Dinner,paneer-butter.png
Mango Chia Pudding,"Vegetarian, Gluten-Free",Fusion,10 min,280,"1 cup mango puree, 3 tbsp chia seeds, ½ cup coconut milk, 1 tbsp honey, few mango cubes for topping","Mix chia seeds, coconut milk, and honey in a bowl. Let it sit for 10–15 minutes to thicken. Layer with mango puree in a glass and top with mango cubes. Chill before serving.","Dessert, Snack",mango-pudding.png
Grilled Paneer Tikka,Vegetarian,Indian,25 min,320,"200g paneer cubes, 1/2 cup yogurt, 1 tsp red chili powder, 1 tsp garam masala, 1 tbsp lemon juice, salt, bell peppers, onion","Mix yogurt and spices to form a marinade. Coat paneer and veggies, marinate for 15 minutes. Grill or roast until golden brown. Serve hot with mint chutney.","Starter, Dinner",no-image.png
Aloo Sandwich,Vegetarian,Indian,15 min,280,"4 bread slices, 2 boiled potatoes, 1 green chili, ½ tsp cumin powder, ½ tsp chili powder, salt, butter, coriander leaves","Mash boiled potatoes and mix with spices and chopped coriander. Spread butter on bread, add potato mixture between slices. Toast on tawa or sandwich maker until golden and crispy. Serve with chutney or ketchup.","Breakfast, Snack",
